R,G,B,PurpleOrNot,Gender,AndrewID
178,103,201,Yes,Female,sswamin2
67,103,82,Yes,Female,sswamin2
189,104,220,Yes,Female,sswamin2
180,104,235,Yes,Female,sswamin2
169,106,189,Yes,Female,sswamin2
113,107,189,No,Female,sswamin2
66,111,232,No,Female,sswamin2
159,112,228,No,Female,sswamin2
53,112,229,No,Female,sswamin2
7,112,58,No,Female,sswamin2
138,113,209,No,Female,sswamin2
103,115,83,No,Female,sswamin2
67,115,37,No,Female,sswamin2
203,116,195,No,Female,sswamin2
64,117,121,No,Female,sswamin2
18,118,79,No,Female,sswamin2
174,119,210,No,Female,sswamin2
76,119,185,No,Female,sswamin2
39,122,100,No,Female,sswamin2
183,122,73,No,Female,sswamin2
243,122,95,No,Female,sswamin2
119,125,33,No,Female,sswamin2
242,125,185,No,Female,sswamin2
245,126,30,No,Female,sswamin2
85,128,61,No,Female,sswamin2
221,128,124,No,Female,sswamin2
205,128,92,No,Female,anship
244,128,96,No,Female,anship
255,128,71,No,Female,anship
176,128,230,No,Female,anship
240,128,140,No,Female,anship
218,130,214,No,Female,anship
255,130,147,No,Female,anship
173,130,230,No,Male,anship
255,130,0,No,Female,anship
255,131,193,No,Female,anship
255,135,205,No,Female,anship
255,140,203,No,Female,anship
255,140,173,No,Female,anship
255,143,181,No,Female,anship
240,143,128,No,Female,anship
70,143,180,No,Female,anship
135,143,250,No,Female,anship
255,146,196,No,Female,anship
188,146,143,No,Female,anship
255,148,191,No,Female,anship
175,151,225,Yes,Male,ssliu
170,152,226,Yes,Male,ssliu
163,153,191,Yes,Male,ssliu
215,153,245,Yes,Male,ssliu
180,153,210,Yes,Male,ssliu
146,153,172,Yes,Male,ssliu
186,153,191,Yes,Male,ssliu
167,160,172,Yes,Male,ssliu
214,160,218,Yes,Male,ssliu
95,160,121,Yes,Male,ssliu
208,161,255,Yes,Male,ssliu
255,161,35,No,Male,ssliu
90,164,32,No,Male,ssliu
36,164,176,No,Male,ssliu
47,165,236,No,Male,ssliu
209,165,68,No,Male,ssliu
49,165,49,No,Male,ssliu
70,165,53,No,Male,ssliu
123,166,71,No,Male,ssliu
198,169,59,No,Male,ssliu
32,170,145,No,Female,ssliu
204,172,218,No,Male,ssliu
247,174,60,No,Male,ssliu
225,174,141,No,Male,ssliu
188,175,128,No,Male,jeffersl
129,175,13,No,Male,jeffersl
129,176,12,No,Male,jeffersl
129,178,23,No,Male,jeffersl
129,181,21,No,Male,jeffersl
129,182,30,No,Male,jeffersl
166,183,182,Yes,Male,jeffersl
166,184,181,Yes,Male,jeffersl
166,186,180,Yes,Male,jeffersl
0,0,0,No,Female,amanna
255,188,255,No,Female,amanna
0,189,153,No,Female,amanna
204,0,0,No,Female,amanna
204,191,255,No,Female,amanna
255,192,204,No,Female,amanna
0,192,51,No,Female,amanna
204,194,0,No,Female,amanna
255,198,153,No,Female,amanna
255,200,102,No,Female,amanna
160,200,160,No,Female,amanna
255,202,0,No,Female,amanna
102,204,0,No,Female,amanna
102,204,0,No,Female,amanna
0,204,102,No,Female,amanna
51,204,255,No,Female,amanna
153,0,153,,Male,abressle
153,204,255,,Male,abressle
51,204,255,,Male,abressle
0,204,0,No,Male,abressle
255,204,0,No,Male,abressle
255,0,0,No,Male,abressle
178,206,255,Yes,Male,abressle
255,206,153,No,Male,abressle
0,209,76,No,Male,abressle
0,0,204,No,Male,abressle
102,212,0,No,Male,abressle
143,213,89,No,Male,abressle
0,0,0,No,Male,abressle
200,215,240,Yes,Male,abressle
140,215,174,Yes,Male,abressle
220,215,235,Yes,Male,abressle
205,0,255,Yes,Male,abressle
220,216,255,Yes,Male,abressle
175,216,235,Yes,Male,abressle
170,219,236,,Male,abressle
255,0,0,No,Female,agebreg
0,221,0,No,Female,agebreg
0,0,255,No,Female,agebrezg
255,221,0,No,Female,agebreg
255,222,0,No,Female,agebreg
255,223,255,No,Female,agebreg
255,0,255,No,Female,agebreg
128,223,128,No,Female,agebreg
255,223,255,No,Female,agebreg
0,0,0,No,Female,agebreg
255,223,192,No,Female,agebreg
0,223,144,No,Female,agebreg
255,224,0,No,Female,agebreg
255,224,71,No,Female,agebreg
0,226,127,No,Female,agebreg
70,228,180,No,Female,agebreg
218,228,32,No,Female,agebreg
176,229,230,No,Female,agebreg
255,229,0,No,Female,agebreg
0,229,127,No,Female,agebreg
51,230,0,No,Female,amanna
0,232,0,No,Female,amanna
0,232,102,No,Female,amanna
64,238,64,No,Female,amanna
255,240,153,Yes,Female,amanna
255,240,,No,Female,amanna
0,241,76,No,Female,amanna
102,243,0,No,Female,amanna
153,243,255,No,Female,amanna
76,243,0,No,Female,amanna
255,245,51,No,Female,amanna
255,250,255,Yes,Female,amanna
157,252,252,Yes,Male,ldimitro
86,255,125,Yes,Male,ldimitro
154,255,184,Yes,Male,ldimitro
88,255,125,Yes,Male,ldimitro
199,255,230,Yes,Male,ldimitro
150,255,168,Yes,Male,ldimitro
158,255,191,Yes,Male,ldimitro
90,255,191,Yes,Male,ldimitro
132,255,219,Yes,Male,ldimitro
67,255,120,Yes,Male,ldimitro
144,255,222,Yes,Male,ldimitro
87,255,143,No,Male,ldimitro
30,255,189,No,Male,ldimitro
68,255,53,No,Male,ldimitro
255,255,18,No,Male,ldimitro
217,255,15,No,Male,ldimitro
240,0,0,No,Male,ldimitro
252,0,122,No,Male,ldimitro
37,255,96,No,Male,ldimitro
106,255,10,No,Male,ldimitro
255,255,255,No,Male,ldimitro
0,0,0,No,Male,ldimitro
128,255,66,No,Male,ldimitro
49,255,163,No,Male,ldimitro
